Word,Frequency,Updated_Frequency_w2v,Similar_Words_w2v
right,235,1021,"beautifully, hit, uniquely, present, southern, beat, brilliant, ancient, men, cheerful, protein, accommodated, transparent, quaint, modern, besides, cyberabad, poster, bustle, ability, overtly, complement, vintage, require, generation, elegance, exactly, charm, quirky, glow, tend, painting, rightly, habanero, moon, heart, retro, specialty, settle, rare, sinful, significant, manali, yeh, nostalgic, gain, paint, step, bottom, elder, spirit, desi, television, center, instantly, touch, skeptical"
okay,235,235,None
kind,234,251,"extent, encourage, fermentation"
suggest,232,242,"whose, improves"
last,231,281,"frustration, march, generally, independence, seated, rushed, doctor, fifth, mamasam"
along,229,477,"round, flavoured, pata, consist, yummm, quesadilla, mixture, kiwi, assort, cola, vow, osum, comprise, sprinkle, chickpea, chat, frog, combine, sudden, mayonise"
sit,228,265,"botanical, relief, ceiling, breezy, lcd"
hour,228,406,"hassle, diarrhea, bulk, wake, anyway, tardy, bearer, eagerly, might, unhappy, luckily, nagging"
bread,227,315,"raisin, meagre, scotch, english, pani, diet, smoothy, oat, bath"
enough,226,226,None
brownie,225,236,"frosting, naturally, differ, brulee"
lover,224,309,"lods, seafood, tempt, vacation, kukure, lingers, goan"
cold,223,333,"reheat, underwhelming, loose, enuf, bira, buttermilk, thankfully, microwave, reg, cauliflower, temperature, quarter, heat"
water,220,457,"bottled, chilled, melon, float, peel, jug, cinderella, kinley, lamp, litre, scoop, particle, ti, temp, lime, flavored, hand, glove, throat, seller, furious, refreshing, shine"
meal,219,286,"dose, navratri, singhada, sabudana, application, tamatar, aata, pourri, navratra, smoked, aa"
next,218,218,None
north,217,374,"dhaba, palace, chawal, bhatoore, unitedfoodcircle, shikanji, roadside, savor, gobsmacking, reminds, khana, norfest, west, bature, nizams, cowboy, tiffin, rayalseema"
open,216,336,"pour, rain, transport, copper, closed, walkable, faster, lush, jam, spectacular, infront, distance, peer, courtyard, infest"
mushroom,214,247,equally
person,214,235,alright
super,214,259,"burani, duper, loaded, thnx, gratitude, panda, delighted, pro"
shawarma,214,437,"colddrink, khaliooz, doubtful, samoli, regularly, donalds, sharwarma, iron, kuch, mohammedia, guilt, selling, falafel, monster, kurkure, istah, tht, double, satisified, miyo, delivers, solution, anymore, periperi, pice, prantha, vomitted"
spread,213,230,"acre, opted, thumsup, experiment"
disappoint,213,229,"disappoints, occur, shree"
fine,212,217,"aimbence, resemblance"
egg,212,270,"scramble, mini, fiery, bheja, pellet, trace, pistachio"
mandi,212,281,"mandis, ramzan, arabian, barkas"
felt,212,232,"somewhat, overlooked, unreasonable"
light,210,258,"brightly, contrast, dark, mirror"
disappointed,210,219,"expecting, inedible, dumb"
yummy,210,375,"absolute, veey, sizzling, chholey, pav, khatta, lick"
mention,209,242,"coordinating, navaratri, rabina, bullet, khimchi, preference, delicacies, supremely"
bar,208,224,"hitec, banquet, channel, adorn"
almost,208,265,similar
long,207,215,"amused, crash, crouded, butt"
thank,207,291,"superlative, santosh, adil, zamir, rubina, caption, ms, beyond"
pay,206,447,"unless, tax, isnt, account, recived, remove, cash, thousand, axis, worthless, plus, mrp, bank, calorie, deceive, negligible, final"
end,205,325,"voila, smeets, papaya, custurd, recall, rottened, slay, forgot, fountain, keen, hummus, ganesh, gaitonde, shot, unknown, dp, bf, commonly"
gold,205,212,"approachable, contract, fluctuation"
pathetic,205,266,"impolite, lousy, incompetent, complaint"
weekend,205,226,"buff, weeknight, esp, caution"
care,204,269,"constructive, action, precaution, resolve, personalise, captain, imran, photo"
dal,204,281,"bukhara, bhaji, paranthas, bundi, gol, te, khichdi, burji, aalu"
view,203,283,"breathtaking, goa, voice, starry, beauty, ambient"
leave,201,353,"consume, yuck, lol, den, disappear, state, maybe, confuse, bare"
min,200,246,"cz, remind, wht"
however,200,237,accord
gravy,198,198,None
highly,198,206,"peruvian, cheesey, healthier, granola"
naan,198,198,None
shake,197,220,"creaminess, pop"
dj,196,221,"sunil, peppy, asif, tune, pretend, bo"
fill,196,282,"outer, kinda, drench, generously, covered, capsicum"
seem,196,309,"moreover, serious, aspect, annoy, stash, initially"
late,195,221,"downstairs, woah, midnight"
chef,195,256,"prakash, shaqeel, kumud, making, kundan, dedication, restaurent, mohit, malaysian, tarak, kranti, chimichuri, blessie, kobe, eager, guru"
cuisine,194,338,"specialise, goshtmasala, spare, splendid, raagi, exhibit, cusinie, tibetan, daawat, regional, biryanis, boast, notorious, inspire, fare, liking, preservatives, authenticate, sophisticate, pulaos, immense"
still,192,259,"heel, delivering, nobody, tastless, tat, wont, previous, fassos"
city,192,256,"picturesque, hyper, hustle, mimic, property, swanky, aura, midst"
specially,191,197,"mmm, wth"
flavor,191,218,"nyonya, leaf, tuti"
authentic,188,366,"awadhi, bind, real, nizam, satiate, garu, belong, royal, cooking, numb"
hospitality,188,191,ankit
mark,187,194,greasy
paratha,186,217,"alloo, aaloo, bilkul, bonda, bhalla, mooli, rava, ghar"
salad,186,242,"ceaser, basically, tuna, pea, sausages"
tell,185,189,audacity
tandoori,184,184,None
inside,184,281,"cane, visible, bulb, compose, prop, giant, tall, toilet, humid, smoke, wear, sign, submerge"
dry,183,211,"weird, soyabean, fishy"
absolutely,182,227,"juiciness, ribs, interact, dilip, fantasy, pleased, unforgettable, garnished, lastly"
couple,182,253,"past, newbie, drunch, pleasent, gig, pal, grace, wisely, rogue, smirnoff"
without,181,269,"ho, absent, helpless, complete"
another,178,236,"cue, spark, proceed, assume, sample, expertise, zest, nibble, meanwhile, respective, supply, pachadi"
outlet,178,394,"shop, chii, chennai, bawarchi, mumbai, airport, creamstone, theobroma, housing, pang, line, craving, hamburger, rank, thus"
mouth,178,300,"heaven, glance, gum, die, scrumptious, meeta, crumble"
roti,176,179,mei
box,176,242,"label, carton, mountain, ta, sabza, intact, upload, sutra, happiness, bomb, alive, gift"
locate,175,185,"showroom, diversity"
today,175,272,"zing, nvr, benchmark, grand, woh, aunt, email, mat, amazed, misplace, freebie, dissatisfaction, mathura, link, hd, nov, previously, visitied, thia, lesson"
beautiful,174,223,"elegant, sexy, fourth, resembles, invite"
new,172,237,"festive, yeah, category, introduce, globe, launch"
cost,172,245,"inr, approximately, combos, wrt, potion, ai, steal, afford"
huge,172,219,"unlike, congested, numerous, isb"
pocket,170,233,budget
favourite,170,404,"personal, alongwith, chai, among, doughnuts, zillion, farcha"
compare,170,230,"unmatched, par, resonable, competition, define, comparison"
combo,170,230,"idli, sev, program, sangati, kachori, kuttu, hota, roomali, puttar, wada, enchilada"
totally,168,196,"tough, longer, phulka"
onion,168,186,"chopped, root, bed"
extremely,167,174,"unfriendly, spoiler"
cafe,167,474,"driven, luxurious, bikes, automobile, madras, tit, porsche, school, triumph, crest, metallic, bikers, random, baking, stair, twin, weakness, caf, times, muscle, posh, advertisement, irani, endless, setting, graffiti, rustic, garage, superbikes, morning, mawa, concept, starbucks, sophisticated"
sandwich,165,179,"lukmi, focaccia, spanish, misal"
stuff,164,187,"shape, bhelpuri"
since,163,214,"majority, reviews, dissapoint, decade, priority, closeby, repute, cousin, topic"
half,162,200,"remain, breathe, nxt"
expensive,161,254,"mnc, downside, indulgence, clueless, louder, product, compensate, rayala, affair, dent, overrated"
soon,161,475,"moment, christmas, tomorrow, shall, forward, stay, willing, enthral, ther, kaushik, awexome, santhosh, fellow, shower, stellar, excited, falvours, law, mom, mate, hello, apologetic, modify, excite"
old,160,253,"parsi, accessory, fashion, era, childhood, wallpaper, lift, frame, uplift, helmet, ad, model, blossom, telephone, mangalore, sync, meddle, everywhere"
cool,159,250,"collection, convenient, wid, cum, garden, sublime, aesthetic"
visited,159,203,"veganyums, leisurely, partner, survivingforfood, farewell, december, frnd, freaks"
punjabi,157,207,"gal, essence, lal, lababdaar"
desert,156,180,"appam, rehmat, select"
fast,156,173,"speed, expense"
wonderful,156,168,"ongoing, vr"
lovely,155,157,recognize
outside,155,189,"lawn, condition"
potato,155,155,None
miss,155,238,"payasam, copy, dig, magic, podi, havent, missed, bus, orgasmic, relate, stealer, touched, exaggerate, dotsol, colorful, names, atoneplaceonline, khichadi, whop"
choice,154,197,"plenty, aplenty, pre"
whole,154,230,"devoid, incredible, remotely, neways, create, nadi, strand, dislike, complaints, stretchy, lantern, five, bench, glue, thigh"
momos,154,200,"ramen, metal, chokha, bandi, hum"
expectation,154,154,None
mr,153,159,"treated, purmita"
wrap,153,155,chaska
bill,152,180,"count, noone, pannier"
receive,151,165,"damp, body, triptify"
charge,148,163,"exorbitant, dude, mineral, insult"
amount,148,166,"lesser, anti, complementary"
regular,148,152,"backup, khaju"
hard,147,217,"neither, rubber, expiry, insufficient, partha, ordering, quote"
ordered,147,170,"vegetarians, reference, ordred, jus, lemongrass"
properly,147,158,"stinky, chewiness, blant, fungus"
counter,146,161,"conveyor, tray, curt"
waste,146,180,"filled, sep, couldnot, dishearten, cancellation, spent, refrain"
packaging,145,194,"parota, inconsistent, thumb, yumilicious, correctly, affect"
dont,144,171,"judge, bathroom, shit"
red,144,153,"cry, veggies, tortilla"
fruit,144,156,"bessen, fruity"
sunday,144,156,"mist, stack, rave"
group,144,144,None
chutney,143,148,dhaniya
home,143,149,"thot, pregnant"
spend,143,188,"noise, wan, yall"
reasonable,142,142,None
choose,142,202,"macaroon, pdr, cast, widespread, whichever, attract, gluten, savoury, haha, smart, phenomenon"
office,142,144,fate
everyone,142,171,"baklawa, indigril, sincerely, tho, definately, kiran, ola, fo"
hotel,141,379,"sheraton, amenity, hi, marriott, fi, legacy, outset, sister, caters, mahal, presence, dear, exhaust, discussion, singer, simbas, piss, industry, ethic, cleanly, fod, apartment, feeling, hospital, suresh, witness"
interior,141,143,tranquil
till,141,171,"electronic, dnt, spider, invitation, slide, aunty, frank"
hyderabadi,141,144,fyi
thali,140,146,"dhahi, bhel"
management,138,141,negligence
mocktails,138,176,"kolini, calvados, mandatory, deadly, sparkle, madness, rum, bokum, liqueur, mary"
check,138,157,"rule, verify"
pork,138,174,"belly, steaky, kalbi, redeem"
change,137,181,"important, target, approach, themself"
treat,137,177,"daily, refer, prefers, abijit, speaks, pallet"
outdoor,137,137,None
dine,137,204,"primary, bn, together, etiquette, whereinhyderabad, strike"
portion,136,139,outrageous
vegetable,136,136,None
poor,136,154,peace
din,135,222,"class, locality, proactive, overal, cityscape, greet, hehe, juggle, foreign, vishal, underground, lifetime, sundays"
point,135,396,"fancy, urge, mile, factor, role, efficiency, grave, satisfaction, room, importantly, addition, catcher, shoe, confused, photograph, headquarters, irrespective, favour, misconception, surround"
near,134,151,"eatery, suite"
finally,134,176,"needless, sheela, ahead"
anything,134,144,"revert, utter"
happen,134,147,"villa, visitor"
pm,134,179,"onwards, trend, everybody, khaansaab, karan, reception"
plate,133,145,"whereas, tool"
let,133,172,"thought, overcrowded, dangerous"
breakfast,132,193,"everyday, feast, gelatos, goodie, chese, gulaab"
location,132,138,"ambiece, inner"
hope,132,138,"freshener, compel"
bite,131,138,"unlucky, thickness"
superb,131,131,None
birthday,131,228,"kid, gastrohogger, device, yumy"
smell,131,134,tobacco
juicy,131,135,legs
meat,131,138,pulusu
do,130,190,"dressed, damn, babycorns, dat, tangadi, comply"
base,130,147,"thyme, individual"
friends,129,150,"enjoyment, console, checkout, gaming, bulky"
else,129,272,"head, yay, yes"
satisfy,129,133,"meticulous, basudev"
fan,128,152,"joy, benedict, miyapur"
multiple,128,130,til
request,128,132,oblige
pastry,127,159,premium
help,127,133,catering
friday,126,126,None
play,126,132,"artifact, embience"
thai,126,130,thukpa
platter,126,126,None
lemon,126,136,"screw, tai"
include,126,231,"bajji, randomly, mud, chum, bengali, gatte, apart"
away,125,191,"conditioner, petty, dounuts, break, duct, control, possibly, ventilation, cigarette, protect"
cocktail,125,146,"godfather, cabanas, coming, blah, brandy, passion, toddy"
tried,125,179,pick
chill,125,145,"wind, socialize, blast"
green,125,128,oatmeal
pepper,124,124,None
simply,122,189,"kay, arjun, amongst, tastiest, thier, ofcourse, njy"
size,122,122,None
house,122,149,"icreams, restro, telengana, confectionery, cheapest, history, kms"
horrible,121,121,None
server,121,141,"waiters, guide, shakil"
melt,121,130,luscious
welcome,121,131,"thankful, customisation, yammy"
helpful,120,120,None
roll,119,119,None
veggie,119,119,None
close,118,133,"understaffed, premise, silence, degree"
donut,118,139,"eclair, naughty, bounty, relished, jelly, rip, loaf"
rate,118,121,nicer
although,118,167,"major, tickle, crabs, drawback, expected, rough"
extra,117,128,"crouton, custom, merely, repellent"
show,117,128,"positively, reachable"
actually,116,176,"quotient, habit, brain, puke, honestly, goodness, adjust, pate, quietly, jaljeera"
oil,116,116,None
least,116,116,None
favorite,116,116,None
may,115,153,"eventually, learn, nowhere, un"
reach,115,115,None
book,115,127,"apps, gracefully, panjim"
space,115,117,ca
kitchen,113,190,"belonging, fisherman, wharf, receptionist, share, heartbroken, spray, activate"
fried,113,113,None
bowl,113,117,slimy
aloo,112,112,None
hang,112,119,"altogether, photoshoot"
rooftop,112,112,None
chilly,112,112,None
saturday,111,111,None
style,111,115,"hanging, kodivepudu"
put,110,125,"scare, stored, reek, upgrade, unclean"
mind,110,229,"fume, hoch, dis, tastebuds, alone, innovation, dream, sig, warn, na"
completely,110,138,"hai, pain, satisfying, medicine, kinds"
ka,110,126,"teekha, palang, horse, gram, sarso, shashlik"
bring,110,113,impulse
number,110,172,"customized, additional, trick, takeaway, restraint, patron, information, depend, voucher"
probably,110,161,"excels, suffocate, thickshake, individually, shift, tricky, kept, currently, oder, describes, equal, appal"
haleem,110,177,"biriyanis, doubt, truely, sankati, gorge, calcutta, biryaani"
tea,109,109,None
date,108,145,"um, rakshita, getaway, priyadarshini, sonalin, sher, cooperate, temper, vis, conduct"
section,108,126,"widely, beverages, concrete, soothing, decorated, wifey"
turn,108,119,"indicate, pepperoni, cherish"
bakery,108,130,"gifting, namkeen, establishment, bangalore, span"
tender,108,108,None
mango,107,107,None
perfectly,107,107,None
simple,107,149,"interesting, rajasthan"
minute,107,110,se
talk,106,138,cause
upto,106,106,None
instead,106,106,None
second,106,108,caught
mint,106,106,None
type,106,117,"considerable, vary, perk"
usually,105,131,"abide, throng, curiosity, tase, venture, bestseller, destination"
etc,105,118,"hut, promising"
makhani,105,109,vadas
pulao,104,128,"oorugallu, appearance, miriyala, palau, mandhi, pandu, guthivankaya, mirapakaya, chapala"
fun,104,106,preffered
yum,104,125,"hollow, letdown, drool, deliciously, sava, precise"
set,104,104,None
online,103,106,matching
mix,103,105,distinguish
follow,103,333,"instagram, dieeating, page, facebook, com, www, http, curiousfoodieswanderlust, hyderabadfoodexplorer, wordpress, im, twitter, thefoodpotato, google, technology, marriot, gacchibowli, gradually, physical, hardcore, khaana, commercial, foodphotography, cn, wana, gd, rep, express, addict"
glass,103,118,"automatically, board, jar"
india,102,116,"prevent, heritage, influence, population"
ur,102,145,"respectful, hey, assistance, politeness, pradhan, develop"
match,101,101,None
busy,101,101,None
indoor,101,101,None
anyone,101,135,"strictly, trouble, drain, tired"
surprise,101,113,"weight, blessing, shld"
prompt,100,104,"avinash, hussain"
colleague,100,106,"ten, conjunction"
snack,100,105,"icecrm, plethora"
prepare,100,155,"prepared, immediate, instruct, pleasing"
low,100,111,"shady, restaurents, vendor"
reason,100,124,"percent, finding, useless, deserves, neglect"
twice,100,109,"parotha, character, drag"
prefer,99,104,cuz
level,99,118,"moderation, aback, king"
guest,98,100,pushkar
wish,98,110,"thinking, survive, trash"
list,98,202,"frequently, favs, stopper, establish, lay, goto, bliss, age, bid, sundaes, safely, thght, chose, ricotta"
term,98,108,"justified, aside"
club,98,108,"highlife, bhai, got"
tomato,98,98,None
decide,97,101,blogger
forget,97,166,"oh, bloody, redundant, smash, poorly"
rude,97,113,"human, stupid"
proper,97,127,"suck, exist"
clean,97,110,"construction, passing, inconvenient"
bland,96,96,None
issue,96,96,None
