Word,Frequency,Updated_Frequency_ft,Similar_Words_ft
pasta,303,351,"crunchy, sangria, sahoo"
chinese,303,448,"china, wine, finest, ramadan, american, bean, afghan, shravan, hilarious"
offer,302,524,"offset, decade, budget, reading, economic, economical, elaborate, et, relation, deck, conversation, vallet, restriction, entry, import, inclusive"
high,301,308,higher
party,300,508,"lcd, hug, tds, sundae, celebration, sundaes, sunset, caters, deteriorate, casual, theme, airport, catchy, johnny"
see,299,443,"sell, bore, infuse, intact, insist, sens, inspire, household, shallow, listen, instantly, contact, shortage, strand, theatre"
polite,299,431,"elite, courteousness, humble, appreciable, appreciation, cooperative, secondly, cosmopolitan, supportive, attractive, nutrient, decorative"
especially,298,427,"nitish, subz, exceptionally, sizzlers, subba"
use,298,499,"tease, aunt, toilet, incase, doesnt, access, incharge, rupee, fuss, stuck, confuse, shld, excuse, swiss, hunt, mellow, dd, raise, haunt, spouse, eatery, piss, imagine, insta, cheat, dope, bo, chase"
floor,295,368,"glance, appearance, idol, plus"
available,291,558,"conclude, conclusion, con, applicable, reaction, reception, memorable, continue, condiment, despite, assorted, cartoon, contemporary, asset, designer, department, disinterested, delectable, encounter, establishment, discount, construction"
deliver,290,353,"faasos, dominos, paytm, domino, yuck"
waiter,289,383,"later, apologetic, attempt, tumbler, user"
around,287,420,"activate, dear, gate, rougue, dedicate, ditch, ate, calm, cat, hesitate, few"
sure,281,480,"leisure, endure, heyy, gesture, treasure, rely, entirely, lure, surjet, future, entire, helmet, moment"
wing,281,343,"childhood, americano, america, child, sizzling, chit, texas, lolipop, tex, win"
name,280,487,"names, ohh, chefs, namkeen, culture, thyme, kishore, figure, threw, mere, oh, assist, sesame, channel, capture, hometown, berliner, bature, secure, lame, german, wire, feature, checkout, shu, chelo, farmer, structure, mist, infest, unknown, sher"
call,280,280,None
hangout,279,329,"gang, becoz, vasool, yang, handy, school, snl, loaf"
improve,278,310,"representative, pre, exclusive, satisfying"
crispy,276,296,"sanghai, sofas, sakhil, balsamic, dash"
please,276,373,"word, force"
area,274,278,transport
nothing,274,443,"tatse, noise, nose, didnot, disgusting, didnt, prepares, ege, notify, finesse, conjusted, disaster, thread, seemed, dissapointment, confused, prepared"
beer,273,543,"breezer, beet, winter, banger, beg, beef, among, belong, brighter, brilliantly, arrabiata, brim, outer, erdinger, brilliant, alcoholic, daughter, cilantro"
chilli,271,339,"roast, nalli"
coffee,270,336,"suit, break, mohit, scotch, bready, streaming, pit, movie, brioche"
work,270,554,"wow, prost, promote, bcz, hopefully, proud, unpleasant, product, owe, vfm, awkward, duct, prop, relative, pleasant"
garlic,266,297,"pattaya, patta, metallic, khatta, nasheela, saba, chepala, sattoo, bagara"
rating,266,333,"recent, dieeating, reference, prefers, preference, ratul, precise, dissapoints"
quick,266,266,None
spice,265,265,None
happy,265,313,"happily, gobind, thumbs, hateful, funny, lukewarm, hasebul"
full,264,478,"fulfill, boat, heat, success, directly, wheat, bottled, unwell, ill, legacy, dominate, boondi, grand, bowls, bonda, mill, stress, kill, bottle, shall, bos, boulder"
something,264,296,"somewhere, cantonese, cheating, misleading, bolognese"
provide,261,340,"customization, program, festive, advertisement, consecutive, preservatives, satisfaction, important"
value,259,266,"glue, valuable"
side,256,671,"slide, sparkle, oblige, ride, sir, interesting, silu, spot, sig, tinge, alongside, divide, sip, six, wet, smart, strange, consideration, introduce, tge, mode, sign, interested, besides, vouch, seth, sort, secret, si, dark, street, code, infection"
vegetarian,252,271,"sajan, golgappe, feta, included, diwali, laila"
part,252,366,"partho, apart, partner, art, partly, particle"
add,252,582,"mount, stored, added, cutlery, gil, sadness, kiss, lt, swipe, reduce, kinley, swift, edge, bomb, donot, cult, bass, cabbage, blunt, bored, untouched, gift, blessie, bombard, gelato, pee, inspired, stinky, juggle, healthier, spongy, onto, spillage, story, contains, heavy, fledge, shocked, moto, rubbery, coke, idiot, incredibly, struggled"
courteous,251,279,excite
live,249,356,"lived, catering, olive, attracts, entertainment, electrify, savior, catchup, breathtaking, engage, alive, decorated, squid, attract, liqueur"
grill,247,437,"tgrill, lavender, lasagne, lasagna, sheek, sheekh, alexander, hai, finger, lollipop, tenderloin, shikampuri, adraki, jug"
dance,245,387,"assistance, inconvenience, performance, fragrance, indulgence, chance, influence, hence, resemblance"
pack,242,244,rupees
slow,241,253,"sloppy, complaining, patiently, unbelievable"
manager,237,237,None
biriyani,236,275,"ulvacharu, burani, pulusu, patrani, peshawari, rayalseema, khema, pachimirchi, kurma, haha, bundi"
soft,236,238,kapil
right,235,743,"wht, float, might, sick, gloomy, bonus, beat, epic, boring, stretchy, pea, ball, beach, bluntly, heaven, stretch, significantly, bell, dangerous, basic, modern, inspiring, sound, strictly, globe, appear, score, peach, hearing, smoking, mirror, showroom, strangely"
okay,235,235,None
kind,234,406,"acre, blind, threaten, knowledge, unlucky, mobile, infrastructure, kismiss, restroom, cheated, involve, microwave, rent, weakness, fork, constraint, adult, untidy, unlock, resembles, leaking, underrated, advantage, sponge, explore, hint, wat, happiness"
suggest,232,249,"suggested, digest, abt"
last,231,284,"twist, law, jst, lasgna, lag, til, ist, yeah"
along,229,535,"alongwith, lamp, kong, bangla, lassi, la, lassuni, moroccan, gai, latte, tango, ai, ladoo, lava, pang, mooli, chitchat, enchiladas, laddu, bangkok, gatte, crusher, da, garam, lajeez, blanch, bhami, pinch, trappe, bhai"
sit,228,242,"site, website"
hour,228,306,"irritate, four, tip"
bread,227,353,"chose, brule, wrt, wedge, mocha, vada, coastal, cub"
enough,226,231,massive
brownie,225,227,tortilla
lover,224,288,bud
cold,223,1018,"colour, wakto, lack, colony, cottage, consume, washroom, correct, cover, color, candle, storage, enquired, coated, mosquito, rushed, concerned, carrot, correctly, minty, pink, covered, watery, app, usage, driver, console, core, glad, front, missed, mile, conveyer, page, connoisseur, account, saviour, drawback, honour, minor, cucumber, sorry, agree, detailed, conduct, dressed, already, brother"
water,220,522,"watermelon, cheater, usher, kher, sober, voucher, rubber, uber, power, poster, filter, cluster, temper, oyster, cater, wer, sister, seller, joker, avenger, watering, killer, tower, skewer, aswell, brings, diameter, manger, basket, reminder, pitcher, sampler, wallpaper, youngster, stopper, showstopper, frontier, lager, cauliflower, rocher, container"
meal,219,539,"oatmeal, kushal, daal, combos, mahal, makhan, combination, laal, magical, rajma, meagre, dhahi, deal, medicinal, pantry, pudina, dabha, poha, parantha, rajwada, bheemavaram, navaratri, pongal, bhaji, chatwala, cure"
next,218,275,sometimes
north,217,369,"vth, wth, valentine, earth, loyal, comparison, th, festival, unusual, kranti, ranjith, rann"
open,216,299,"hulk, edm, hill, hidden, tech, witch, yea"
mushroom,214,214,None
person,214,342,"personnel, personalise, swiftly, bilkul, messy, abruptly, spell, sarson, personally, peep, regularly, poison, eagerly"
super,214,267,"srinivas, suketu, supply, duper, praveen, keshav"
shawarma,214,613,"shawarmas, shawrma, sharwarma, shwarma, shawarama, shawerma, shah, shahid, dharma, shahi, hawaii, sharp, bawarchi, shabby, shaam, shashlik, shami, shabir, shaqeel, awadhi, shadow, doubt, jumbo, shd, ah, award, hema, falafel, shaped, shape, pachi, formaggi, shame, farcha, irani"
spread,213,242,dim
disappoint,213,411,"disappoints, disappointing, disappointment, vomitted, admitted, dis, aisa"
fine,212,496,"finding, line, similar, dismal, company, intense, inr, iness, dig, singh, distinct, bearable, linen, spare, actual, earthy, apne, uninterested, premise, discus, interest"
egg,212,283,"saleem, piri, mashad, kathi, magi, kalkuksu, ramyun, tum, mirch, tofu, kimbap"
mandi,212,229,"firni, andra, diya, kobe, futiya"
felt,212,234,"overlooked, syed, sweat, heed, addicted, extravaganza"
light,210,267,"highlight, morning"
disappointed,210,220,google
yummy,210,240,"mmm, bhuna, bhaiya, wonka, kolini, santhosh"
mention,209,529,"attention, intention, inspection, unconventional, sentiment, suggestion, explanation, expression, reputation, dissatisfaction, cushion, complement, implement, preparation, additional, discrimination, revelation, sensation, generation, renovation, stallion, assortment, session, intimation, discussion, fluctuation, exaggeration, accommodation, explosion, element, innovation, apartment"
bar,208,274,"heart, barfi, barkas, sync, sophisticate, youtube"
almost,208,372,"write, allot, gst, mineral, throng, asap, tile, nobody, diamond, thier, alll, minestrone, shepard, minimalistic, micro, midst, triple"
long,207,253,"teach, longer, hong, tilt, evng, gung, london, hamid"
thank,207,207,None
pay,206,208,narrow
end,205,228,"depend, tend, frnd"
gold,205,248,"reluctantly, constant, relaxed, bold, pleasing, instance, information"
pathetic,205,278,"irritated, gotten, apologise, reshmi, wasabi, somehow, apology"
weekend,205,209,"weekly, pretend"
care,204,228,"enquire, carbs, cancellation, bare"
dal,204,307,"bhatti, punjagutta, bhi, dahi, paranthas, nasi, bharathi, zara"
view,203,207,surroundings
leave,201,229,immediately
min,200,234,"twin, refrain, napkin, marriage, retain, talumein, skin"
however,200,285,"leftover, moreover, wasting, costumer, turnover, ceaser, flyover, teetotaler, eligible, apologised, ruined, exorbitant, steep"
gravy,198,198,None
highly,198,249,"truly, ugly, nyonya"
naan,198,208,"aalishaan, zeera, naam, navratan"
shake,197,298,"puke, almond, free"
dj,196,196,None
fill,196,384,"fillet, pic, mild, file, powder, millet, letdown, singer, slap, layer, bottom, bathroom, dozen, middle"
seem,196,246,"se, example, instruction"
late,195,336,"relate, hate, circulate, escalate, demand, nill, fate, skill, island, estimate, switch, navigate, hair, land"
chef,195,198,cheque
cuisine,194,264,"trial, bengal, authority, traditional, random, rangadhar, herbal, tropical, niranjan, popularity, sikanji"
still,192,195,telephone
city,192,261,"clarity, publicity, begumpet, amenity, hitec, sitafal, eye, vicinity"
specially,191,224,"rajesh, naresh, mahesh, akash"
flavor,191,193,juciy
authentic,188,322,"royal, asusual, easily, gopal, nandan"
hospitality,188,209,"njy, pritam, hehehe, prime"
mark,187,220,"marble, painfully, paint, magnificent, maximum, tat"
paratha,186,358,"parathas, parata, paratas, parathe, parota, paranthes, parsi, parotta, lachcha, parallel, papia, path, chapati, ha, lachha, puo, partha, romali, chawal, parmesan"
salad,186,309,"alot, pad, palette, paella, spaghetti, jaisa, sad, chholey, chhole, macchiato"
tell,185,185,None
tandoori,184,194,kolhapuri
inside,184,255,"language, resident, semi, booking, guide, control, mosquitoes, selfie"
dry,183,222,"ghee, vry, quesadilla"
absolutely,182,302,"solely, merely, naturally, kuldeep, abd, namely, safely, ganesh, belly, wolly, krishna, jolly, rarely, ritam, summary, ya, jelly, yadav, widely, daily, rabz"
couple,182,285,"collegues, college, conveniently, collect, convey, counterpart, cockroach, cowboy, comfy, confusing, connect, collage, convince"
without,181,196,forgot
another,178,191,"bacon, whose"
outlet,178,424,"jubilee, shop, tree, bullet, yet, yeh, claim, newbie, europe, cutlet, ye, indulge, pistachio, dilawar, pushkar"
mouth,178,763,"teeth, chai, moongdaal, chat, signature, chole, bhature, gajar, mousse, jjigae, baklava, mouthwatering, mixture, nature, brinjal, basis, chambourlette, pine, baklawa, bath, sambar, bangalore, original, chaats, cinderella, dosas, chaat, cheddar, sheet"
roti,176,176,None
box,176,293,"smack, shree, jubliee, aluminium, shut, bombay, shamelessly, omlet, bosam, dosa, hundred, down, dollop"
locate,175,183,"terminal, bus"
today,175,179,hd
beautiful,174,339,"romantic, luxurious, furious, windows, vinayak, sinful, financial, artificial, obvious, trading, window, outstanding, numerous, centric"
new,172,551,"yes, lost, dist, exist, unwind, wife, behind, wishlist, triptify, travel, month, kritunga, feast, trappist, believe, http"
cost,172,291,"increase, comprise, rs, compete, decrease, compel"
huge,172,237,"situation, notch, jet, sprout, modification, director, transparent, inviting"
pocket,170,172,jacket
favourite,170,217,"rite, bebinca, favrte, amongst, coolest, critique, bessen, mumbai"
compare,170,228,"comparatively, inefficient, entitle, moderation, competitor, compensate, incompetent, curiosity, community, inconsistent, consistently, population, neutral"
combo,170,195,"puris, idli, purmita"
totally,168,257,"total, hey, woo, worn, unhealthy, worry, suey, justified"
onion,168,210,"role, cinnamon, missal, basmathi, sambhar, chaska"
extremely,167,534,"smiley, scarcely, except, homely, smile, idly, gladly, sadly, apolo, certainly, literally, deeply, handle, appolo, deadly, honestly"
cafe,167,259,"car, snag, campus, claustrophobic, sky, benedict, funky, clue"
sandwich,165,176,"jaggerbomb, truffle"
stuff,164,169,"keto, pottery"
since,163,166,there
half,162,184,"pate, hasnt, mince"
expensive,161,181,"effective, exit"
soon,161,467,"sooner, sundowner, anup, television, asif, arrogant, cascade, kid, occassions, closely, occasion, often, volume, sholay, tht, son, jonathon, satay, nitin, associate, sherva"
old,160,311,"block, blow, stop, gig, caught, heap, photo"
cool,159,166,arjun
visited,159,182,"exquisite, vila"
punjabi,157,543,"daba, nath, harabara, bhar, paradise, usual, bheja, nawabi, khaas, ga, das, roshan, dawaat, na, lal, gaga, hi, cinema, gobhi, galouti"
desert,156,189,design
fast,156,173,"fasoos, farm, ashalivelovefood, fahm"
wonderful,156,161,successful
lovely,155,155,None
outside,155,155,None
potato,155,190,"saw, sarso"
miss,155,325,"missi, bliss, stellar, wada, sore, chart, charm, char, omelet, picture, calcutta, sachet, wharf, redo, cashew, lethargic, ache, braise, tobacco, contaminate"
choice,154,173,"country, culinary"
whole,154,290,"hole, sole, sample, singhada, voila, character, charcoal, maple, chapa, machow, miracle, chewiness, patron, challan, mass, garbage, opinion, stealer, chaas, wala, zillion, mimic, palatepassion, chap, singapore"
momos,154,229,"kurkure, sambousek, gap, omg, falooda, xacuti, galaxy, kolkata, aa"
expectation,154,154,None
mr,153,173,"occasional, hehe, elephant, treatment"
wrap,153,153,None
bill,152,152,None
receive,151,189,"recipe, checked, lucknowi"
charge,148,226,complete
amount,148,241,"cud, brick, udipi, healthy"
regular,148,183,"bottomline, hotline, anilpatel, false, truck, accessory, mohammedia, formal, resturent, necessary"
hard,147,205,"apathy, rotten, paya, hassle, purchase"
ordered,147,259,"leg, tick, gobi, nugget, relished, mirapakaya"
properly,147,175,"elderly, tamper, smelling, study, stiff, tacos, steel, underwhelming, tanginess"
counter,146,242,"criterion, orange, contrary, connoisseurs, contrast, lantern, congest, content"
waste,146,146,None
packaging,145,145,None
dont,144,144,None
red,144,147,mozarella
fruit,144,144,None
sunday,144,144,None
group,144,149,wen
chutney,143,145,nuttela
home,143,148,"awsme, dharmananda"
spend,143,207,"treated, extend, accommodate, exaggerate, humiliate, relatively, positively"
reasonable,142,163,"preferably, verity, qty"
choose,142,224,"fails, vietnamese, confectionery, assort, temporary, industry, subsidiary, crossiant, sunrise, desire, brest, passion, junnu"
office,142,142,None
everyone,142,171,"severely, otm, foul"
hotel,141,162,"istah, onwards, beware, downstairs, restraunts"
interior,141,160,"international, centre"
till,141,146,"followup, zen"
hyderabadi,141,185,"arab, daawat, radio, sikandar"
thali,140,234,"thalis, khalifa, khaliooz, thats, navratri, mathura, navratra, bhalle, alisha"
management,138,147,argument
mocktails,138,364,"virgin, english, lingers, artichoke, alfresco, suhail, cooler, lip, grt, begin, slush, yogurt, jade, jamoon"
check,138,138,None
pork,138,177,"porus, posh, lick, summarize, cherish"
change,137,245,"frustration, basement, assign, straters, head, changer, exchange, illusion, administration, contract, carbonara, additionally, de, wherein, cardamom"
treat,137,197,"prefect, effect, sudhakar, hygenic, suaces, peacefully, hasibul, elegant, lovefoodhatewastage, pleasantly, antique, vr"
outdoor,137,137,None
dine,137,316,"asia, dint, cusines, dinesh, enthral, dialogue, sheraton, invite, diz"
portion,136,252,"presentation, coordination, imagination, accompaniment, splz"
vegetable,136,187,"palatable, version, avalanche, passable, saffron"
poor,136,204,"concentrate, seperate, convenient, age, approach, doorstep, prebooking, prominent"
din,135,203,"golf, entertain, allaudin, join, allauddin, maintenance"
point,135,194,"gorge, promising, hardworking, edit, appropriate, fudge, vomiting, hustle, moderate, existent, gifting, prevent"
near,134,134,None
finally,134,174,"lagoon, sin, bacardi, lately, latin, attached, macaroon, frustrated"
anything,134,141,tho
happen,134,199,"via, rogue, heartbroken, pls, shoutout"
pm,134,136,catcher
plate,133,144,adequate
let,133,133,None
breakfast,132,150,"vadas, varsha, luxury, videsi"
location,132,134,operation
hope,132,148,fault
bite,131,196,"cute, cooking, subtle, crumble"
superb,131,131,None
birthday,131,131,None
smell,131,156,"step, adil"
juicy,131,131,None
meat,131,131,None
do,130,143,"nutshell, payasam, baida"
base,130,144,"basudev, bag, bap"
friends,129,132,kriek
else,129,131,cone
satisfy,129,185,"raj, raja, satisified, verdict, distasteful, rahamat, goey, rahmat, jayanth, guthivankaya, pratik, jayant"
fan,128,144,"khan, bengali"
multiple,128,165,"multi, realise, excited"
request,128,130,warest
pastry,127,129,ery
help,127,149,"spent, client"
friday,126,126,None
play,126,126,None
thai,126,133,"ghai, shezwan"
platter,126,335,"twitter, upper, tandoor, better, tang, bitter, faster, seekh"
lemon,126,155,"melon, risk, hash, straw, astonish"
include,126,239,"nominal, appeal, scallion, typically, dead, common, challenge, scramble, garage, mediocre"
away,125,130,shady
cocktail,125,155,"solid, dreadful, refreshing, soy, apply, plush"
tried,125,163,"evry, mercury, airy, trouble, fiery, zucchini, rosemary, legendary, exotica"
chill,125,203,"garden, frill, mindblowing, broken, smoker, willing, bed, lollypop, turmeric"
green,125,167,"greet, greenery, greedy, pomfret, critical, schuimzuiper"
pepper,124,129,silly
simply,122,357,"marvelous, socialize, marvellous, sparsely, national, cylindo, substantial, material, potential, barnali, aplenty, herb, khandar, artisanal, ms, spl, enormous, accidentally, pungent, aritra, bhangra, curious, kentucky, initially, partially, herbs, barbeque, barman, randomly, kunda"
size,122,130,"peas, enrich, kuch"
house,122,132,"pourhouse, beacuse"
horrible,121,121,None
server,121,123,manali
melt,121,123,samudana
welcome,121,145,"apt, centrally"
helpful,120,120,None
roll,119,160,"paper, sheer, pamper, tiger"
veggie,119,119,None
close,118,118,None
donut,118,118,None
rate,118,145,"tolerate, devoid, grate, satiate, direct"
although,118,122,"cutting, utensil"
extra,117,117,None
show,117,117,None
actually,116,161,"ultra, meticulously, automatically, unorganized, nestled, separately, theglobetrotterlady, normally, obviously"
oil,116,116,None
least,116,116,None
favorite,116,118,bhimavaram
may,115,123,"bin, kay"
reach,115,115,None
book,115,115,None
space,115,115,None
kitchen,113,203,"bearer, artist, kms, themself, watcher, bachelor, short, telugu, fusion, inn"
fried,113,206,"fri, fraud, mildly, quench, steam, gram"
bowl,113,120,aromas
aloo,112,116,bhalla
hang,112,112,None
rooftop,112,112,None
chilly,112,112,None
saturday,111,111,None
style,111,152,"simbas, gat, arabiatta, malabar, angara, anda, arabiata, tuti, spcl, bara, tamarind"
put,110,206,"capsicum, upload, cheap, whr"
mind,110,114,candy
completely,110,173,"comply, complex, ultimately, rave, unfortunately, meant"
ka,110,112,khaddu
bring,110,245,"bringing, selling, unwilling, coming, solve, basically, mic, orgasmic, blatantly, move, displayed, gathering, king, weisbier"
number,110,116,confirmation
probably,110,188,"moderately, possibly, evident, miserably, acoustic, prominently, havent, genuinely, benefit, clientele, gentle, agent, sincerely, polythene, tamatar, spoonful"
haleem,110,110,None
tea,109,116,kit
date,108,112,"route, fungus"
section,108,112,"tension, functional"
turn,108,219,"blogger, balloon, tube, tuglaq, elder, schedule, lazeezgrammer, gluten, cider, strip, strong"
bakery,108,205,"moist, history, death, gelatos, strike, cusinie, model, develop, thee, trip, cabanas"
tender,108,263,"narender, dharmender, render, surender, attender, per, supper, bartender, harsh, wholly, software"
mango,107,138,"villa, julep, mangalore, yoghurt, kirak, phak, shoot"
perfectly,107,130,"perhaps, peel"
simple,107,163,"physical, amalgamation, continuous, inch, tequila, apparently, matching, indeed"
minute,107,107,None
talk,106,106,None
upto,106,109,delayed
instead,106,150,"ahead, monster"
second,106,106,None
mint,106,112,gin
type,106,121,"sardarji, alarm, etiquette, medicine, chemical"
usually,105,217,"gradually, unparalled, graffiti, nazakat, lucy, hat, kya, unnecessarily, shrimp, shikampur, khoya, akhil, teekha, kothu, lastly, fulfil, shikari, illegal, grade, drastically, technically, algorithm, gaya, miyapur, magic, thewandererfoodies"
etc,105,105,None
makhani,105,124,"mamasam, maki, sukha, mawa, khaana"
pulao,104,104,None
fun,104,131,"nirvana, nitrogen, bdubs"
yum,104,104,None
set,104,104,None
online,103,103,None
mix,103,103,None
follow,103,108,alloo
glass,103,108,"molten, stout"
india,102,137,"accompany, initial"
ur,102,147,"gd, unhygienic, btw"
match,101,106,dhol
busy,101,122,positive
indoor,101,101,None
anyone,101,101,None
surprise,101,272,"surprised, distinctive, unitedfoodcircle, detoriated, suprise, surprisingly, disturb, surprising, togethers, readily, got, organise, dilute, dedicated, phenomenal, degrade, previously, luckily, plethora, jasmine, communicated, diverse, upgrade, throughout, congested"
prompt,100,111,"alternative, ancient"
colleague,100,103,ranch
snack,100,104,"snacker, cappuccinos"
prepare,100,175,"represent, praise, complain"
low,100,116,efficient
reason,100,175,"discovery, bucket, justify, valet"
twice,100,102,practice
prefer,99,110,"substandard, rectify, nostalgic, nostalgia"
level,99,122,"spectacular, aditya, peculiar, sent"
guest,98,98,None
wish,98,120,"avinash, trash, bikash, salim"
list,98,130,"enthusiast, banquet, triumph, band"
term,98,193,"serene, serious, cetera, security, serf"
club,98,98,None
tomato,98,109,"cheaply, chandelier, pair"
decide,97,109,category
forget,97,103,"ger, bananaleaf, milkyway"
rude,97,97,None
proper,97,144,plastic
clean,97,97,None
bland,96,96,None
issue,96,96,None
